"date","latitude","longitude"
"2020-12-19","1.2896744349","103.7199383647"
"2020-12-14","1.3726546336","103.8000824857"
"2020-12-14","1.3875402368","103.899396058"
"2020-12-14","1.2647069468","103.8881787226"
"2020-12-14","1.2870915012","103.9873224089"
"2020-12-14","1.2326009559","103.8018759144"
"2020-12-14","1.3635755123","103.9595965094"
"2020-12-14","1.3047885451","103.8199427845"
"2020-12-13","1.2036102427","103.9504763582"
"2020-12-08","1.2728910356","103.8039368543"
"2020-12-08","1.2370259132","103.9410412964"
"2020-12-06","1.3058250173","103.8799378376"
"2020-12-05","1.2626033376","103.8500939447"
"2020-12-05","1.2842141739","103.971358873"
"2020-12-05","1.5170125549","103.8147009675"
"2020-12-05","1.2729010872","103.8488514379"
"2020-12-05","1.3353992245","103.915133592"
"2020-12-04","1.3702649306","103.813264574"
"2020-12-03","1.4983015816","103.6178284874"
"2020-12-03","1.2864663421","103.9811247117"
"2020-12-01","1.3197554853","103.8354404462"
"2020-11-29","1.2242906292","103.8119536822"
"2020-11-26","1.5572524312","103.9175349437"
"2020-11-25","1.2593085042","103.818554064"
"2020-11-18","1.2777093126","103.9761784855"
"2020-11-17","1.322028921","103.8025288138"
"2020-11-16","1.3564362283","103.923696627"
"2020-11-16","1.3460853203","103.8641526799"
"2020-11-15","1.4644899169","103.799862293"
"2020-11-15","1.2839614439","103.8548794677"
"2020-11-15","1.4851907219","103.9588731923"
"2020-11-10","1.5535782141","103.9910823915"
"2020-11-08","1.26782927","103.7158608479"
"2020-11-07","1.3296483646","103.721058892"
"2020-11-05","1.212693529","103.924046595"
"2020-11-02","1.3499726399","103.667607365"
"2020-11-01","1.2257319812","103.8637204883"
"2020-11-01","1.363035116","103.9975432192"
"2020-10-31","1.3980471393","103.8397066048"
"2020-10-25","1.5725900354","103.8740893278"
"2020-10-22","1.5173902042","103.9298451641"
"2020-10-20","1.3199400011","103.9007095828"
"2020-10-18","1.394321259","103.705432621"
"2020-10-17","1.4124058739","103.6112823615"
"2020-10-14","1.2001539438","103.7419506612"
"2020-10-14","1.5019598294","103.6181422142"
"2020-10-10","1.4963119573","103.6273525035"
"2020-10-10","1.5846667416","103.9018266381"
"2020-10-08","1.2918637375","103.900515037"
"2020-10-03","1.5525592611","103.852373299"
"2020-09-26","1.2351243896","103.8181761329"
"2020-09-26","1.5638579733","103.9898916021"
"2020-09-25","1.5684812192","103.9115649252"
"2020-09-24","1.3124790505","103.9107478154"
"2020-09-21","1.4814808156","103.8434805385"
"2020-09-19","1.2956320909","103.8471745396"
"2020-09-19","1.540178574","103.9749906577"
"2020-09-18","1.4769307054","103.8302244832"
"2020-09-17","1.3552827915","103.8523263685"
"2020-09-16","1.5001643735","103.9923770192"
"2020-09-14","1.2126598688","103.8707343478"
"2020-09-13","1.2762453145","103.8921278989"
"2020-09-07","1.3645556047","103.8716774859"
"2020-09-07","1.4990987521","103.6218909826"
"2020-09-06","1.2405540883","103.8269115539"
"2020-09-02","1.3617207798","103.8555199312"
"2020-09-01","1.2961847381","103.7190599766"
"2020-08-31","1.3947561979","103.9300107034"
"2020-08-31","1.3573425196","103.9840134623"
"2020-08-30","1.3971218126","103.8935123026"
"2020-08-30","1.3330247506","103.9942314438"
"2020-08-30","1.3656470918","103.8227043679"
"2020-08-30","1.3436128883","103.8443812895"
"2020-08-25","1.2412228104","103.9116267126"
"2020-08-23","1.4560882366","103.8502032625"
"2020-08-21","1.3123185488","103.99108823"
"2020-08-19","1.2705142496","103.9527142568"
"2020-08-19","1.3710984126","103.9878808797"
"2020-08-17","1.2027791912","103.9894194632"
"2020-08-17","1.2314705207","103.8708322519"
"2020-08-15","1.4696349328","103.8893421929"
"2020-08-14","1.2158177974","103.9234547001"
"2020-08-12","1.2770517843","103.8480912876"
"2020-08-10","1.4588080114","103.8312322014"
"2020-08-09","1.243361788","103.9755263951"
"2020-08-08","1.2042827001","103.6980482661"
"2020-08-06","1.3786004711","103.8322230051"
"2020-08-02","1.2291178858","103.8902730167"
"2020-07-31","1.3024777818","103.9222795069"
"2020-07-30","1.2534456732","103.9367489392"
"2020-07-30","1.3359884363","103.8711225924"
"2020-07-25","1.2598922573","103.8741504289"
"2020-07-15","1.3877015973","103.6230707061"
"2020-07-15","1.4431156161","103.9613254129"
"2020-07-10","1.3550044625","103.8136067074"
"2020-07-10","1.4731517472","103.8200982069"
"2020-07-10","1.4793184808","103.8344322976"
"2020-07-08","1.3937051253","103.9724926882"
"2020-07-06","1.2734709772","103.8534814746"
"2020-07-04","1.5275187652","103.9124830684"
"2020-07-03","1.4768499047","103.9625687795"
"2020-07-03","1.5254267659","103.9681507631"
"2020-07-02","1.5494671161","103.9028928964"
"2020-07-02","1.3008087006","103.8897990596"
"2020-06-30","1.3399513064","103.8153676874"
"2020-06-28","1.2013987744","103.8119966046"
"2020-06-27","1.3624620093","104.0817110977"
"2020-06-24","1.2560896958","103.8215620353"
"2020-06-23","1.2450704604","103.9919189951"
"2020-06-20","1.3177584676","103.9774450824"
"2020-06-18","1.3773652616","103.6266675435"
"2020-06-17","1.5969042106","103.8247264093"
"2020-06-14","1.2121003743","103.9430651486"
"2020-06-09","1.3516321046","103.9939352256"
"2020-06-08","1.4685333787","103.8211649637"
"2020-06-06","1.3867283938","103.9187361064"
"2020-06-02","1.3544969959","103.9649905425"
"2020-06-02","1.2793984531","103.9388673453"
"2020-06-01","1.2115182164","103.8218017661"
"2020-05-31","1.2936557656","103.913072866"
"2020-05-31","1.2313410989","103.8835861743"
"2020-05-31","1.2685936228","103.8412033473"
"2020-05-30","1.4271827145","103.9984900197"
"2020-05-28","1.2051650616","103.8871203949"
"2020-05-21","1.3602440086","103.8190046539"
"2020-05-21","1.3119159982","103.8625407856"
"2020-05-18","1.2635037948","103.8948343204"
"2020-05-17","1.2784355162","103.8915702378"
"2020-05-16","1.3321872257","103.9652424927"
"2020-05-15","1.2828656288","103.8265489589"
"2020-05-15","1.2216751867","103.9430088733"
"2020-05-14","1.4355853989","103.8518054466"
"2020-05-14","1.5218605405","103.8003138994"
"2020-05-14","1.4667450757","103.9119347246"
"2020-05-12","1.5039118823","103.8948085873"
"2020-05-11","1.3520661807","103.9432468387"
"2020-05-11","1.2332780645","103.8095736366"
"2020-05-07","1.2380259438","103.8204624196"
"2020-05-07","1.3657203178","103.8408288572"
"2020-05-06","1.3848130426","103.8455022344"
"2020-05-04","1.2279472193","103.8969423588"
"2020-05-03","1.4828264644","103.9179763972"
"2020-05-03","1.5926196672","103.858812219"
"2020-05-02","1.2350577042","103.8773399297"
"2020-04-28","1.2512707747","103.6085015877"
"2020-04-13","1.2032465163","103.811763844"
"2020-04-11","1.3290432609","103.9235966804"
"2020-04-07","1.3234122034","103.9268360965"
"2020-04-05","1.2982852968","103.8391646726"
"2020-04-05","1.2878283844","103.8003928499"
"2020-04-04","1.3502623688","103.8694628223"
"2020-03-28","1.4986112365","103.8899764879"
"2020-03-28","1.5512670098","103.9885874765"
"2020-03-23","1.3001671902","103.9114107067"
"2020-03-22","1.2917307308","103.8673286801"
"2020-03-20","1.2430130608","103.8226912699"
"2020-03-16","1.2503346853","103.9718052425"
"2020-03-15","1.2371906107","103.980216065"
"2020-03-15","1.3848801571","103.9358866016"
"2020-03-14","1.3413452174","103.8816467093"
"2020-03-14","1.3438381789","103.8173401916"
"2020-03-13","1.2933910639","103.8691539698"
"2020-03-12","1.2457669414","103.8097445986"
"2020-03-11","1.4727726662","103.9235801841"
"2020-03-05","1.4974375674","103.9664518143"
"2020-02-29","1.3028912462","103.9327169047"
"2020-02-26","1.215056094","103.9647580627"
"2020-02-24","1.2176925282","103.9737348061"
"2020-02-23","1.456299181","103.9306702952"
"2020-02-15","1.3107894201","103.6291783796"
"2020-02-15","1.3714988833","103.8556316523"
"2020-02-06","1.2329289425","103.9024305751"
"2020-02-01","1.4592739353","103.864677792"
"2020-01-28","1.379366904","103.8605335595"
"2020-01-27","1.2645712681","103.8683856713"
"2020-01-26","1.2901588852","103.9492303008"
"2020-01-26","1.4776763284","103.817402386"
"2020-01-23","1.2578293984","103.7937560704"
"2020-01-12","1.2572151974","103.8091381742"
"2020-01-08","1.2638723597","103.9952024864"
"2020-01-03","1.2592353889","103.9515183872"
"2020-01-03","1.36736895","103.9806446775"
"2019-12-24","1.2685655066","103.9001761891"
"2019-12-23","1.3234992688","103.9428661517"
"2019-12-22","1.3523856584","103.9200492793"
"2019-12-22","1.3885712038","103.9881493707"
"2019-12-21","1.4895365574","103.9454571526"
"2019-12-14","1.2437639325","103.6914413198"
"2019-12-13","1.370905945","103.7428067027"
"2019-11-30","1.2289872263","103.9077130915"
"2019-11-30","1.3581474383","103.9795137746"
"2019-11-30","1.2138098028","103.8762269844"
"2019-11-19","1.3547943012","103.954077394"
"2019-11-15","1.2398350685","103.8648326584"
"2019-11-15","1.2865237562","103.9830389829"
"2019-11-09","1.3012579724","103.8808830422"
"2019-11-01","1.2911528209","103.8034219435"
"2019-10-26","1.2560062374","103.8269411859"
"2019-10-23","1.3213476528","103.9572216739"
"2019-09-15","1.2088464607","103.9512275833"
"2019-09-07","1.2781757952","103.9326762579"
"2019-08-25","1.3182382901","103.9445702435"
"2019-08-23","1.389753702","103.6320509432"
"2019-08-18","1.3936180208","103.6036031214"
"2019-08-15","1.2595282096","103.6416524089"
"2019-08-02","1.3746057028","103.6656314493"
"2019-07-31","1.3881691017","103.7129430375"
"2019-07-28","1.3040974413","103.9445311052"
"2019-07-28","1.3315750994","103.8363200029"
"2019-07-26","1.4219612031","103.9809607932"
"2019-07-13","1.3841728754","103.6288075196"
"2019-07-10","1.2345945982","103.6590860558"
"2019-07-01","1.2997381453","103.9159005752"
"2019-06-29","1.3552610432","103.9018244959"
"2019-06-27","1.2953185492","103.869577502"
"2019-06-27","1.2152758791","103.822361887"
"2019-05-26","1.2241585351","103.8264581582"
"2019-05-25","1.272301955","103.8063017616"
"2019-05-15","1.3415468797","103.666621046"
"2019-05-12","1.2998287391","103.8066371647"
"2019-05-11","1.3368910849","103.7200548356"
"2019-05-09","1.2547412623","103.9389562193"
"2019-05-03","1.3170256813","103.8692903986"
"2019-04-23","1.3944975329","103.7774530379"
"2019-04-19","1.3513226452","103.8664219286"
"2019-04-12","1.234369889","103.6023723525"
"2019-04-05","1.2929644707","103.9836466358"
"2019-03-28","1.3179256077","103.9345368738"
"2019-03-24","1.2882060621","103.8208496613"
"2019-03-14","1.3089939706","103.9443889193"
"2019-03-09","1.2526647985","103.9086451226"
"2019-03-08","1.2612858388","103.8204283578"
"2019-03-06","1.4097139673","103.7285932449"
"2019-03-05","1.2079398528","103.777628198"
"2019-02-20","1.5860877571","103.9126004269"
